name,count
limited,2
nodes,2
presentation,2
companies,3
design,4
current,3
never,2
understanding,2
larger,2
useful,2
convolutional,5
particular,2
hardware,12
something,3
algorithms,5
FPGAs,4
classify,2
operations,2
interesting,3
actually,3
might,3
developments,2
slide,2
found,2
Platform,4
network,4
shows,2
million,2
quite,2
training,10
could,3
massive,2
scene,2
little,2
add/multiply,2
future,3
LeCun,10
acceleration,2
ideal,2
which,8
performance,6
Google,6
especially,2
points,2
emerging,2
networks,10
While,3
including,2
where,2
close,2
approach,2
terms,3
comes,2
learning,7
Nvidia,2
while,2
coupled,2
began,2
running,2
architectures,2
neural,19
instance,2
capabilities,4
extensive,4
around,3
early,5
using,3
LeCun’s,5
Virtex-6,2
server,2
become,2
recognition,4
scale,4
Facebook,6
limitations,2
processing,4
although,2
Microsoft,2
about,5
actual,2
efforts,2
software,2
image,3
there,3
custom,2
billion,2
elsewhere,2
datasets,2
computing,3
general,3
other,9
problems,2
